
NODES = 50

LINKS = 4900

1 1 2
2 2 1
3 1 3
4 3 1
5 1 4
6 4 1
7 1 5
8 5 1
9 1 6
10 6 1
11 1 7
12 7 1
13 1 8
14 8 1
15 1 9
16 9 1
17 1 10
18 10 1
19 1 11
20 11 1
21 1 12
22 12 1
23 1 13
24 13 1
25 1 14
26 14 1
27 1 15
28 15 1
29 1 16
30 16 1
31 1 17
32 17 1
33 1 18
34 18 1
35 1 19
36 19 1
37 1 20
38 20 1
39 1 21
40 21 1
41 1 22
42 22 1
43 1 23
44 23 1
45 1 24
46 24 1
47 1 25
48 25 1
49 1 26
50 26 1
51 1 27
52 27 1
53 1 28
54 28 1
55 1 29
56 29 1
57 1 30
58 30 1
59 1 31
60 31 1
61 1 32
62 32 1
63 1 33
64 33 1
65 1 34
66 34 1
67 1 35
68 35 1
69 1 36
70 36 1
71 1 37
72 37 1
73 1 38
74 38 1
75 1 39
76 39 1
77 1 40
78 40 1
79 1 41
80 41 1
81 1 42
82 42 1
83 1 43
84 43 1
85 1 44
86 44 1
87 1 45
88 45 1
89 1 46
90 46 1
91 1 47
92 47 1
93 1 48
94 48 1
95 1 49
96 49 1
97 1 50
98 50 1
99 2 1
100 1 2
101 2 3
102 3 2
103 2 4
104 4 2
105 2 5
106 5 2
107 2 6
108 6 2
109 2 7
110 7 2
111 2 8
112 8 2
113 2 9
114 9 2
115 2 10
116 10 2
117 2 11
118 11 2
119 2 12
120 12 2
121 2 13
122 13 2
123 2 14
124 14 2
125 2 15
126 15 2
127 2 16
128 16 2
129 2 17
130 17 2
131 2 18
132 18 2
133 2 19
134 19 2
135 2 20
136 20 2
137 2 21
138 21 2
139 2 22
140 22 2
141 2 23
142 23 2
143 2 24
144 24 2
145 2 25
146 25 2
147 2 26
148 26 2
149 2 27
150 27 2
151 2 28
152 28 2
153 2 29
154 29 2
155 2 30
156 30 2
157 2 31
158 31 2
159 2 32
160 32 2
161 2 33
162 33 2
163 2 34
164 34 2
165 2 35
166 35 2
167 2 36
168 36 2
169 2 37
170 37 2
171 2 38
172 38 2
173 2 39
174 39 2
175 2 40
176 40 2
177 2 41
178 41 2
179 2 42
180 42 2
181 2 43
182 43 2
183 2 44
184 44 2
185 2 45
186 45 2
187 2 46
188 46 2
189 2 47
190 47 2
191 2 48
192 48 2
193 2 49
194 49 2
195 2 50
196 50 2
197 3 1
198 1 3
199 3 2
200 2 3
201 3 4
202 4 3
203 3 5
204 5 3
205 3 6
206 6 3
207 3 7
208 7 3
209 3 8
210 8 3
211 3 9
212 9 3
213 3 10
214 10 3
215 3 11
216 11 3
217 3 12
218 12 3
219 3 13
220 13 3
221 3 14
222 14 3
223 3 15
224 15 3
225 3 16
226 16 3
227 3 17
228 17 3
229 3 18
230 18 3
231 3 19
232 19 3
233 3 20
234 20 3
235 3 21
236 21 3
237 3 22
238 22 3
239 3 23
240 23 3
241 3 24
242 24 3
